Text,Group,Region,Dimension,Type,Theme,Priority
Health education curriculum secondary school,4,Bxl,CE,Facilitator,Information/Sensibilisation,5
raising citizens' awareness from an early age,4,Bxl,CE,Facilitator,Information/Sensibilisation,5
Bureaucracy! Administrative simplification is needed. ,4,Bxl,CE,Barrier,,0
"Patient empowerment is not only a matter of the interpersonal level, but also of the healthcare organisation (meso) and the healthcare system (macro). Healthcare organisations also have to empower patients.",4,Bxl,CE,Barrier,Patient-centred organisations / care,0
Lack of involvement in the process and development,4,Bxl,CE,Barrier,Patient-centred organisations / care,0
Use of translators (also from your own circle),4,Bxl,CE,Facilitator,Patient-centred organisations / care,0
Care users and care providers together in development,4,Bxl,CE,Facilitator,Patient-centred organisations / care,0
Strong participation of patients' associations,4,Bxl,CE,Facilitator,Patient-centred organisations / care,0
integrating experience experts in decision-making aspects,4,Bxl,CE,Facilitator,Patient-centred organisations / care,0
"Involving the user from the very beginning of the development of a process, procedure or even care offer. There is still too much thinking for the patient. ",4,Bxl,CE,Facilitator,Patient-centred organisations / care,0
There are some very good examples in the Netherlands. Nivel studies - chronic diseases panel,4,Bxl,CE,Facilitator,,0
Plan e-health and associated tools for patient access to their records,4,Bxl,CE,Facilitator,Digital possibilities,0
"Digital tools could be helpful - still a bit hesitant in Belgium - in the Netherlands For example, digital health guide",4,Bxl,CE,Facilitator,Digital possibilities,0
Need for a two-track policy: not everyone is equally ICT literate. Communication and information must be inclusive so non-digital channels and tools remain important. It is about using the appropriate channel for the appropriate patient at the best time.,4,Bxl,CE,Facilitator,Digital possibilities,0
Create intuitive tools (e.g. using images) => increase accessibility ,4,Bxl,CE,Facilitator,Vulnerable groups,0
empowering professionals as well,4,Bxl,CE,Facilitator,,0
training in active listening for professionals,4,Bxl,CE,Facilitator,Competencies,0
Financing adapted to the situation (depending on the complexity) Participation in the decision on the use of the resources  ,4,Bxl,CE,Facilitator,Finance,0
"yet also other financing: rewarding integrated care, rewarding the citizen's input, the citizen's control over his/her care  ",4,Bxl,CE,Facilitator,,0
Care plans incorporating people's preferences ,4,Bxl,CE,Facilitator,,0
"Strong patient organisations are of added value, e.g. Diabetes League, Fight against Cancer - Strong patient organisations exists in the Netherlands. For example, take a look at living with COPD in the Netherlands - living with rheumatism in the Netherlands",4,Bxl,CE,Facilitator,,0
Involving patient organisations: patient empowerment is also a matter of attitude. They can play an active role in this for patients with a specific pathology.,4,Bxl,CE,Facilitator,,0
"Training & coaching patients to support them to be in the driving seat of their own care Especially for those who become chronic patients, this is important.",4,Bxl,CE,Facilitator,,0
Difficult to get many actors to agree on the same strategy,4,Bxl,PC,Barrier,,0
Conflicting interests of healthcare providers,4,Bxl,PC,Barrier,,0
"There is still really insufficient knowledge, awareness of this model in the field. people do not all understand the same thing and often experience it as resistance. cooperation is not yet the norm, let alone giving the citizen/patient the direction: there is still a lot of work to be done here",4,Bxl,PC,Barrier,,0
Lack of a unified communication/information sharing system (with interoperability),4,Bxl,PC,Barrier,,0
This model also requires a little abandonment of sacred cows: daring to redistribute tasks: bearing joint responsibility for care also means providing care together: the right care by the right person in the right place. the minds are not yet ripe for this. ,4,Bxl,PC,Barrier,,0
"Need for extensive coordination, especially in the area of information and training in the first instance (this may also be a lever).",4,Bxl,PC,Barrier,,0
"Need for clear definitions, who is authorised? For example, case management. Still unclear. Difference between Flemish and federal vision in definition, it seems. Also need to make choices, still unclear, for whom, how much, ... What is the minimum needed for patients with complex care?",4,Bxl,PC,Barrier,,0
"Coordination of integrated care for the patient is the role of each care provider. Not only case manager, coordinator, ...",4,Bxl,PC,Barrier,,0
"Do not add many more functions, as this would further lose the beneficiaries and stakeholders",4,Bxl,PC,Barrier,,0
Difficulty in finding mutually convenient times for meetings / consultation / meeting spaces,4,Bxl,PC,Barrier,,0
lack of coherence between federal and regional projects,4,Bxl,PC,Barrier,,0
Integration of care pathway and process is complex,4,Bxl,PC,Barrier,,0
Clear regulatory framework on role and financing of coordination and case management,4,Bxl,PC,Facilitator,,0
also another form of financing that rewards this way of working. possibly even accreditation in the long run,4,Bxl,PC,Facilitator,,0
"A real, fully-fledged shared patient record, where everyone puts in their data and where the right people have read and write rights for the right parts.",4,Bxl,PC,Facilitator,,0
facilitating data sharing and discussing care together,4,Bxl,PC,Facilitator,,0
to provide moments of intervision and training for the social and health actors of the different lines,4,Bxl,PC,Facilitator,,0
having a tool to assess the impact (dashboard) on quality of life and work,4,Bxl,PC,Facilitator,,0
"Provide guidelines, but leave room to adapt to the context",4,Bxl,PC,Facilitator,,0
Develop the synergy between the first line and the hospital by including more of the former in the meeting places of the latter and vice versa.,4,Bxl,PC,Facilitator,,0
to gather the opinions of those involved in the field and of patients and relatives,4,Bxl,PC,Facilitator,,0
Favour a sub-regional level to promote the inter-knowledge of stakeholders and create tools adapted to this scale (neither too rigid nor too vague),4,Bxl,PC,Facilitator,,0
Recognise the invisible work of those who go above and beyond their job description to ensure that care is truly continuous,4,Bxl,PC,Facilitator,,0
develop a common vision and common goals,4,Bxl,PC,Facilitator,Develop a shared vision,0
co-creation of the process with the stakeholders ,4,Bxl,PC,Facilitator,Develop a shared vision,0
Shared digital patient record,4,Bxl,PC,Facilitator,Digital infrastructure,4
"Soon a common ""authentic source"" social/health directory, updated (via CDCS and sharing with local sites)",4,Bxl,PC,Facilitator,Digital infrastructure,3
"A (digital) patient file in which the patient also has a say. Currently, this is purely managed by the healthcare providers and patients sometimes read things in it they do not agree with.",4,Bxl,PC,Facilitator,Digital infrastructure,3
Challenge case manager: a CM with skills in both the social and health sectors OR find health/social linkages to make it a truly integrative function,4,Bxl,PC,Barrier,,
Challenge for case management function: develop 1 pool of CM providers vs. any provider can become CM,4,Bxl,PC,Barrier,,
Remunerating coordination time,4,Bxl,PC,Facilitator,Financement,3
financial recognition of professionals for participation in consultations,4,Bxl,PC,Facilitator,,2
Financing the time needed for coordination (and continuity) as part of the care or service  ,4,Bxl,PC,Facilitator,,2
task-oriented rather than goal-oriented care,4,Bxl,PC,Barrier,Organisation of care,1
Too many complex processes,4,Bxl,PC,Barrier,Organisation of care,1
"Disease-specific approach to care, little transversal",4,Bxl,PC,Barrier,,2
role and financing of the case manager is unclear (Flemish - federal?),4,Bxl,PC,Barrier,,2
different temporality between inpatient and outpatient care,4,Bxl,PC,Barrier,,2
Lack of time for coordination and communication ,4,Bxl,PC,Barrier,,2
Strengthening multidisciplinary work,4,Bxl,PC,Facilitator,,2
Create spaces for dialogue between the first and second line  ,4,Bxl,PC,Facilitator,,0
provide opportunities for local stakeholders to meet  ,4,Bxl,PC,Facilitator,,0
"in the current projects, ""profit"" at the federal level cannot be converted into additional performances at the federated level",4,Bxl,RC,Barrier,,0
"Need for patient awareness e.g. of their changing role, integrated care",4,Bxl,RC,Barrier,,0
Difficult to take integrated care message to a political level,4,Bxl,RC,Barrier,,0
"Need to go beyond the true believers, proves difficult in practice",4,Bxl,RC,Barrier,,0
A bit of the pillarisation and the stubborn demarcation of tasks from which people will not / cannot / may not? break free,4,Bxl,RC,Barrier,,0
"the willingness to change is limited, partly due to ignorance, also due to the way of financing: on the individual level and on the macro level: the profit generated by this model goes to the federal government, the investment and the (initial) extra cost to the communities - that is a bottleneck",4,Bxl,RC,Barrier,,0
"Willingness to change among professionals is limited: due to unfamiliarity with the model, unfamiliarity with the added value (also for the quality of the care provided), and due to financing: this way of working is not rewarded (from the care provider's perspective)",4,Bxl,RC,Barrier,,0
imposed project without terrain input,4,Bxl,RC,Barrier,,0
"In the past, perhaps too much focus was placed on the theory of integrated care and less on the benefits in practice.",4,Bxl,RC,Barrier,,0
fear that patients will be captive to a territory,4,Bxl,RC,Barrier,,0
Not all patients want to be empowered,4,Bxl,RC,Barrier,,0
Making the ROI of integrated care visible,4,Bxl,RC,Facilitator,,0
Ambition for a renewed inter-federal plan for integrated care,4,Bxl,RC,Facilitator,,0
"Integrated working in the field implies integrated working through the policy. finally starting this would be a very big step forward.... (Currently this happens fragmentarily, for Brussels it happens easily between ggc and cocof, but not with the VG/VGC. for example)",4,Bxl,RC,Facilitator,,0
Being able to take reflective approaches: do experiments work? Sharing lessons,4,Bxl,RC,Facilitator,,0
"Willingness to change should not only be financially driven, not every effort for integrated care will be reimbursable. Integrated care must become part of good practice",4,Bxl,RC,Facilitator,,0
Increase health literacy,4,Bxl,RC,Facilitator,,0
sharing promising practices,4,Bxl,RC,Facilitator,,0
Low-threshold access to all information and training concerning the necessary skills for citizens and professionals and this in a uniform manner from all institutions (give the same message),4,Bxl,RC,Facilitator,,0
creating a culture that encourages change by leaving space for actors to take initiatives,4,Bxl,RC,Facilitator,,0
creating a learning community,4,Bxl,RC,Facilitator,,0
"Facilitating willingness to change also means allowing mistakes, errors to happen. this is a learning process for everyone, it takes time. there has to be time and space. ",4,Bxl,RC,Facilitator,,0
Benchmark the change (reduce uncertainty) ,4,Bxl,RC,Facilitator,,0
communicate clear objectives and propose monitoring indicators,4,Bxl,RC,Facilitator,,0
"Putting more focus on the benefits of that change, for all actors involved",4,Bxl,RC,Facilitator,,0
listen to and respond to the fears of professionals,4,Bxl,RC,Facilitator,,0
rewarding quality of care (which will de facto improve with implementation of this model),4,Bxl,RC,Facilitator,,0
"There is a need for healthcare as a joint project with a shared sense of purpose. As long as healthcare is fragmented and based on the self-interest of interest groups, segmentation is not overcome.",4,Bxl,RC,Facilitator,,0
a work organisation that favours creativity.,4,Bxl,RC,Facilitator,,0
"compelling professional circles to take action in this area (through funding, recognition criteria, etc.)",4,Bxl,RC,Facilitator,,0
share successful changes and value the skills and expertise of everyone,4,Bxl,RC,Facilitator,,0
Communities of practice = promising practice for moving towards change,4,Bxl,RC,Facilitator,,0
Reviewing the 'macro' model of consultation ,4,Bxl,RC,Facilitator,,0
actors caught up in the urgency of daily life and no clear vision shared by politics,4,Bxl,RC,Barrier,,0
too high caseload means that there is little time for active management of change,4,Bxl,RC,Barrier,,0
Not enough communication about the benefits for both patients and professionals,4,Bxl,RC,Barrier,,0
Patients are unclear about what the benefit of the change will be for them in concrete terms,4,Bxl,RC,Barrier,,0
Unclear financial picture (for the government),4,Bxl,RC,Barrier,,0
Fear of the unknown ,4,Bxl,RC,Barrier,,0
fear by the actors of losing their singularity and autonomy,4,Bxl,RC,Barrier,,0
Deploying innovation labs ,4,Bxl,RC,Facilitator,,0
Leave room for experimentation,4,Bxl,RC,Facilitator,,0
stakeholder satisfaction ,4,Bxl,RC,Facilitator,,3
Co-create as much as possible (by delimiting the margins of action?),4,Bxl,RC,Facilitator,,3
Listen to what professionals and patients have to say about their experience,4,Bxl,RC,Facilitator,,3
Reducing the hierarchy (or abolishing it) between care providers => equal relationships between actors (including patients) ,4,Bxl,RC,Facilitator,,3
"as long as organisations remain similarly funded and are at risk of ""losing out"" in the face of change, it will not work... ",4,Bxl,RC,Barrier,,0
Force of inertia,1,W,BA,Barrier,,
coordination between self-employed and employed ,1,W,BA,Barrier,,
visibility of the offer,1,W,BA,Barrier,,
Lack of Human Resources ,1,W,BA,Barrier,,
Patient sometimes reluctant to take a multidisciplinary approach,1,W,BA,Barrier,,
Desertification in some areas,1,W,BA,Barrier,,
No demand from the field,1,W,BA,Barrier,,
state of the buildings: outdated architecture and unsuitable for the current public,1,W,BA,Barrier,,
difficulty in recruiting general practitioners in psychiatric hospitals,1,W,BA,Barrier,,
Lack of training,1,W,BA,Barrier,,
obsolete hospital human resources management standards,1,W,BA,Barrier,,
difficulty in finding a general practitioner,1,W,BA,Barrier,,
"care such as dentistry, dietetics,... are not included in the budget of the psychiatric hospitals: development on own funds",1,W,BA,Barrier,,
lack of awareness of the competence of certain professionals,1,W,BA,Barrier,,
workload,1,W,BA,Barrier,,
Individual culture of health professionals,1,W,BA,Barrier,,
The shortcomings revealed by the Covid crisis encourage change ,1,W,BA,Facilitator,,
Good momentum ,1,W,BA,Facilitator,,
better inform the population,1,W,BA,Facilitator,,
public service welcomes all publics regardless of their financial means,1,W,BA,Facilitator,,
human resources,1,W,BA,Facilitator,,
develop better communication tools,1,W,BA,Facilitator,,
digitization of certain data,1,W,BA,Facilitator,,
possibility of consultation by videoconference,1,W,BA,Facilitator,,
ongoing mental health reform,1,W,BA,Facilitator,,
PPLW,1,W,BA,Facilitator,,
Mandatory continuing education,1,W,SG,Barrier,,
Willingness to maintain existing models ,1,W,SG,Barrier,,
Multiplication of interlocutors and concern for representation  ,1,W,SG,Barrier,,
Lack of knowledge of certain mechanisms,1,W,SG,Barrier,,
Fear of losing funding ,1,W,SG,Barrier,,
complexity of some of the submissions required to participate in new projects,1,W,SG,Barrier,,
Different timeframes,1,W,SG,Barrier,,
slow response for some cases between different policy levels,1,W,SG,Barrier,,
essentially hospital-centred health,1,W,SG,Barrier,,
Territorial inequalities (rural and remote areas),1,W,SG,Barrier,,
current structures with different zones,1,W,SG,Barrier,,
concern about border areas,1,W,SG,Barrier,,
desire of stakeholders to participate in the reflection,1,W,SG,Facilitator,,
organise coordination with the second line of care,1,W,SG,Facilitator,,
Concertation,1,W,SG,Facilitator,,
Participation in the reflection and implementation ,1,W,SG,Facilitator,,
common aim,1,W,SG,Facilitator,,
plan for change management,1,W,SG,Facilitator,,
takes into account a variation between rural and urban,1,W,SG,Facilitator,,
Non-structural funding,1,W,FF,Barrier,,
uncomfortable annual funding (administrative burden),1,W,FF,Barrier,,
Little visibility of Human Resources commitments,1,W,FF,Barrier,,
projects that are systematically requested in June for September or in November for January,1,W,FF,Barrier,,
Federal funding for health professionals ,1,W,FF,Barrier,,
"number of reports to be sent in January for all projects, some of which are over 10 years old. ",1,W,FF,Barrier,,
"Non-funding of some professional associations, which does not allow sufficient time to participate in some committees",1,W,FF,Barrier,,
before economy it is necessary to finance the structures properly ,1,W,FF,Barrier,,
funding that must correspond to the reality of the implementation of the projects,1,W,FF,Barrier,,
Administrative burden,1,W,FF,Barrier,,
Different realities between funding bodies and the realities on the ground,1,W,FF,Barrier,,
Temporality,1,W,FF,Barrier,,
better funding for the self-employed,1,W,FF,Facilitator,,
Increasing the deadlines for the submission of projects to allow the various actors to register,1,W,FF,Facilitator,,
plan the working groups of the different structures in advance,1,W,FF,Facilitator,,
provide a timeframe for the duration of a project to support long-term funding and management decisions,1,W,FF,Facilitator,,
Feasibility tests to convince of the need for funding,1,W,FF,Facilitator,,
Patient compliance not always there,2,W,BA,Barrier,,
Shortage of health care staff,2,W,BA,Barrier,,
The vision of individualised and uncoordinated action doctors,2,W,BA,Barrier,,
doctors are not sufficiently aware of prevention since only curative measures are valued,2,W,BA,Barrier,,
"unfortunately, there is still a corporatist defence (e.g. opposition by some doctors to vaccination by pharmacists)",2,W,BA,Barrier,,
Rigid legal framework = difficulty in implementing innovative actions,2,W,BA,Barrier,,
Agreement not allowing to really follow the person if criteria change (difficulties of continuity of the journey),2,W,BA,Barrier,,
"In my opinion, it is important to lift the forms of numerus clausus which, in my view, handicap the integrated care model",2,W,BA,Barrier,,
Difference between territory,2,W,BA,Barrier,,
"In some areas, concertation is good. Integrated care goes further",2,W,BA,Barrier,,
"Integrated care must be framed (more social aspects,) these boundary elements must be contained within the ambition of integrated care",2,W,BA,Barrier,,
I think it is important not to forget to evaluate pilot projects in integrated care (evidence-based practice),2,W,BA,Facilitator,,
Concrete project development,2,W,BA,Facilitator,,
A unique tool for communication between providers and institutions,2,W,BA,Facilitator,,
rejuvenation of professionals and desire for collaboration,2,W,BA,Facilitator,,
New generation = new ideas,2,W,BA,Facilitator,,
envy and professionalism,2,W,BA,Facilitator,,
Integrated Care Project encourages providers to work together,2,W,BA,Facilitator,,
Local concertation of first line professionals,2,W,BA,Facilitator,,
Increasingly frequent concertations between providers,2,W,BA,Facilitator,,
I think it would be useful to define a new network concept that would apply to the integrated care dimension.,2,W,BA,Facilitator,,
Inability to extend existing in-hospital treatment to outpatients outside the hospital setting,2,W,FF,Barrier,,
"Difficulty in recruiting health professionals if there is no guaranteed remuneration, very difficult for innovative projects and therefore the patient follow-up versus treatment cost ratio is not representative of a recurrent treatment",2,W,FF,Barrier,,
difficulty in reaching and motivating the population,2,W,FF,Barrier,,
Difficulty in testing different funding methods ,2,W,FF,Barrier,,
Fee-for-service financing (rather than global intervention financing),2,W,FF,Barrier,,
Nursing nomenclature is a barrier to integrated care,2,W,FF,Barrier,,
bundle payment involves the difficulty of redistribution among caregivers,2,W,FF,Barrier,,
ok for bundel funding but facilitate access to this funding,2,W,FF,Barrier,,
Intra-operational and extra-operational aspects,2,W,FF,Barrier,,
"providers are not prepared to share in pooled funding, currently",2,W,FF,Barrier,,
Reform of the nomenclature,2,W,FF,Barrier,,
Difficulty in mixing different pathologies,2,W,FF,Barrier,,
"For multidisciplinary services, concertation",2,W,FF,Barrier,,
desire for a quick return on investment,2,W,FF,Barrier,,
"the financing of pre/post hospitalisation care is not easy to imagine, especially in the context of the VDB hospital reform",2,W,FF,Barrier,,
Are we mixing inpatient and outpatient services or not?,2,W,FF,Barrier,,
current under-funding of nursing care,2,W,FF,Barrier,,
limited budget,2,W,FF,Barrier,,
Difficulty in testing different funding methods ,2,W,FF,Barrier,,
"Are medical homes a good example of integrated care, especially in terms of funding?",2,W,FF,Barrier,,
Funding must be equitable between all providers e.g. concertation... Everyone should get the same for this service,2,W,FF,Barrier,,
Example testing centre differences between professionals,2,W,FF,Barrier,,
means of communication (telematics),2,W,FF,Facilitator,,
"attention for a transversal vision (mental health network, doelgerigchte zorg)",2,W,FF,Facilitator,,
No obligation of result but of means,2,W,FF,Facilitator,,
It is hoped that the Integrated Care projects can continue....,2,W,FF,Facilitator,,
Funding for integrated care pilot projects,2,W,FF,Facilitator,,
RIZIV multiannual plan = long-term vision,2,W,FF,Facilitator,,
"Difficulties of collaboration between different health professionals (general practitioners, specialists, nurses, pharmacists, physiotherapists, etc.)",2,W,RC,Barrier,,
information on integrated care for providers and patients,2,W,RC,Barrier,,
the patient is not yet aware of his active role in his care,2,W,RC,Barrier,,
Not enough computer interaction (RSW) between professionals. Not enough known and providers not informed enough.,2,W,RC,Barrier,,
Non-adherence of professionals ,2,W,RC,Barrier,,
medium/long term results ,2,W,RC,Barrier,,
"Integrated projects also show that change is not adhered to in 2-3 years -> evaluation not adapted to the change process. Obligation to be efficient, to save money",2,W,RC,Barrier,,
Restructuring of some existing institutions/ financial loss ,2,W,RC,Barrier,,
Reluctance to change: it takes a lot of time,2,W,RC,Barrier,,
Highlighting that there is a big institutional lasagne -> merger restructuring -> a lot of resistance ,2,W,RC,Barrier,,
"Who will do what, how to position themselves? ",2,W,RC,Barrier,,
Change too repetitive for some projects and energy spent each time to adapt (plus impact on patients) ,2,W,RC,Barrier,,
Still not enough collaboration between the hospital and outpatient sectors,2,W,RC,Barrier,,
Change takes time and does not necessarily lead to savings at first,2,W,RC,Barrier,,
Covid crisis,2,W,RC,Facilitator,,
political will,2,W,RC,Facilitator,,
Inter-cabinet working groups = collaboration,2,W,RC,Facilitator,,
Creation of a nursing consortium following the covid,2,W,RC,Facilitator,,
Ambition inter-federal plan,2,W,RC,Facilitator,,
the integrated care model probably fits quite well with the desire of carers to separate their private and professional lives,2,W,RC,Facilitator,,
Too much data,3,W,PA,Barrier,,
Compliance with GDPR,3,W,PA,Barrier,,
Having to categorise populations,3,W,PA,Barrier,,
Population approach Poorly understood concept,3,W,PA,Barrier,,
Habit of working in silos,3,W,PA,Barrier,,
Institutional issues in relation to numbers,3,W,PA,Barrier,,
relay in the media,3,W,PA,Facilitator,,
Study services and harmonisation of indicators and criteria ,3,W,PA,Facilitator,,
Current training  population management,3,W,PA,Facilitator,,
Creation of new function (vaccination centres) - oncrete population health application,3,W,PA,Facilitator,,
"Go to the local level to implement actions and get feedback, validation  ",3,W,PA,Facilitator,,
Ad hoc support for pilot projects ,3,W,PA,Facilitator,,
Access to tools,3,W,DI,Barrier,,
difference between care: professional secrecy and aid: duty of discretion,3,W,DI,Barrier,,
Layout of computer equipment,3,W,DI,Barrier,,
no current system to support integrated care,3,W,DI,Barrier,,
Inadequate information sometimes ,3,W,DI,Barrier,,
GDPR,3,W,DI,Barrier,,
Computer security,3,W,DI,Barrier,,
Access to all professions (care/help),3,W,DI,Barrier,,
RSW not linked to professional skills,3,W,DI,Barrier,,
Difficult access for the beneficiary,3,W,DI,Barrier,,
different platforms where the patient can consult his data = patient confusion,3,W,DI,Barrier,,
Lack of digital literacy,3,W,DI,Barrier,,
Strengthening Social Inequality Health,3,W,DI,Barrier,,
Training ,3,W,DI,Barrier,,
Digital divide for both professionals and users ,3,W,DI,Barrier,,
Too much multiplication of tools,3,W,DI,Barrier,,
Several non-compatible systems,3,W,DI,Barrier,,
Information sharing between the hospital and the second line (tool/software),3,W,DI,Barrier,,
Digital developed with covid,3,W,DI,Facilitator,,
Attractiveness of the care professions,3,W,DI,Facilitator,,
To equip,3,W,DI,Facilitator,,
political will = e-health road map,3,W,DI,Facilitator,,
criteria for the approval of software,3,W,DI,Facilitator,,
increase the skills of carers and service users,3,W,DI,Facilitator,,
Development of communication in the network,3,W,DI,Facilitator,,
awareness among providers of the need to communicate data,3,W,DI,Facilitator,,
existing network,3,W,DI,Facilitator,,
Dedicate people to manage its aspects ,3,W,DI,Facilitator,,
Experience Canada admin /infi,3,W,DI,Facilitator,,
Cost of training,3,W,CB,Barrier,,
federal competences communities and regions = need for collaboration,3,W,CB,Barrier,,
No cross-sectoral vision,3,W,CB,Barrier,,
Workload does not allow time for continuing training,3,W,CB,Barrier,,
Too little or no provision for training in the structures,3,W,CB,Barrier,,
Partnership with users  ,3,W,CB,Barrier,,
Problematic communication,3,W,CB,Barrier,,
Lack of communication in relation to the training offer,3,W,CB,Barrier,,
Continuous training,3,W,CB,Facilitator,,
"existing scientific societies, universities",3,W,CB,Facilitator,,
Work on reducing the digital divide,3,W,CB,Facilitator,,
testing of new functions in the framework of pilot projects (casemanagement),3,W,CB,Facilitator,,
Work at the local level = have health referents at the municipal or supra-municipal level,3,W,CB,Facilitator,,
"Adapted and diversified communication in terms of content, form and supports",3,W,CB,Facilitator,,
Basic training for future professionals ,3,W,CB,Facilitator,,
Inclusion of empowerment concepts in the school curriculum,3,W,CB,Facilitator,,
initiatives for training providers in the framework of pilot projects,3,W,CB,Facilitator,,
Overlap with existing initiatives,4,W,PA,Barrier,,
Difficult to set up new services,4,W,PA,Barrier,,
Multi-disciplinary collaboration sometimes difficult,4,W,PA,Barrier,,
lack of information to users,4,W,PA,Barrier,,
no local territories defined,4,W,PA,Barrier,,
lack of funding,4,W,PA,Barrier,,
Lack of resources for dashboard,4,W,PA,Barrier,,
rigidity of the means of reimbursement of patients,4,W,PA,Barrier,,
Different timing between the field and the funding authorities,4,W,PA,Barrier,,
 prevention-oriented,4,W,PA,Barrier,,
The problem of not considering the person as an entity,4,W,PA,Barrier,,
Lack of access to data,4,W,PA,Barrier,,
Difficult access to data (GDPR),4,W,PA,Barrier,,
Lack of data on the needs of the population to make professionals aware of the importance of the population approach,4,W,PA,Barrier,,
"Professionals with little training in the population approach (and in public health, in fact)",4,W,PA,Barrier,,
commitment of the Walloon government,4,W,PA,Facilitator,,
Funding based on a population approach in mental health (first test),4,W,PA,Facilitator,,
implement health promotion strategies ,4,W,PA,Facilitator,,
partnership with other sectors working on health but with a social cohesion approach ,4,W,PA,Facilitator,,
New function of population manager (vaccination centres),4,W,PA,Facilitator,,
Proximity to citizens to better assess their needs,4,W,PA,Facilitator,,
Communication,4,W,PC,Barrier,,
Divergent representations of Integrated Care,4,W,PC,Barrier,,
multiple coordination in silos,4,W,PC,Barrier,,
The needs of the different lines,4,W,PC,Barrier,,
Instituted professions,4,W,PC,Barrier,,
Barrier to working between different places of living,4,W,PC,Barrier,,
lack of coordination between structures,4,W,PC,Barrier,,
Too big a difference between care and support,4,W,PC,Barrier,,
segmentation of the country's administrative services ,4,W,PC,Barrier,,
Fear of competition/capture of patients ,4,W,PC,Barrier,,
Concertation difficult under the current conditions (obligation of presence of the doctor) ,4,W,PC,Barrier,,
Difficult distinction between coordinator and case manager,4,W,PC,Barrier,,
Too few circles of non-physician professionals,4,W,PC,Barrier,,
Existing legal framework sometimes restrictive,4,W,PC,Barrier,,
Recognition of informal networks,4,W,PC,Facilitator,,
"existence of intersectoral concertations in mental health, for example",4,W,PC,Facilitator,,
Work in a multidisciplinary team,4,W,PC,Facilitator,,
Case management provides the added value of integrated care,4,W,PC,Facilitator,,
Concertation is beneficial for the overall management,4,W,PC,Facilitator,,
More value in coordination between different providers,4,W,PC,Facilitator,,
Exchanges during changes of places of living,4,W,PC,Facilitator,,
Added value of the case manager function,4,W,PC,Facilitator,,
Support from case management,4,W,PC,Facilitator,,
"The added value of these functions is recognised (multidisciplinary consultation, teamwork)",4,W,PC,Facilitator,,
facilitation of concertation via case managers,4,W,PC,Facilitator,,
The legal framework and the current nomenclature can be obstacles to innovative actions,4,W,IM,Barrier,,
When launching new projects: often the logic of short-term control and efficiency,4,W,IM,Barrier,,
Lack of trust in the authorities,4,W,IM,Barrier,,
Sprinkling of some current funding (lack of a pilot in the plane),4,W,IM,Barrier,,
The diversity of representations,4,W,IM,Barrier,,
Difficulty in changing work habits,4,W,IM,Barrier,,
Competition between networks,4,W,IM,Barrier,,
Different systems in place depending on the profession,4,W,IM,Barrier,,
The common desire to move forward,4,W,IM,Facilitator,,
Increased use of digital media < covid,4,W,IM,Facilitator,,
Fast computer exchange but not an end in itself,4,W,IM,Facilitator,,
"Experimentation possible thanks to the King Baudouin Foundation, etc., independent of current health policies",4,W,IM,Facilitator,,
Context favouring risk-taking (or not penalising experimentation): e.g. Integreo projects at the beginning,4,W,IM,Facilitator,,
To be able to get quick feedback on the progress of the innovation,4,W,IM,Facilitator,,
Knowledge transfer (intervisions between pilot projects),4,W,IM,Facilitator,,
Diversity of partners,4,W,IM,Facilitator,,
Exchanges between actors involved in innovation (communities of practice),4,W,IM,Facilitator,,
Links/sharing between local partners,4,W,IM,Facilitator,,
Formidable creativity of service providers,4,W,IM,Facilitator,,
"Digital divide for access to e-health (age, socio-economic factor)",5,W,CE,Barrier,,
Electronic medical record --> Elderly,5,W,CE,Barrier,,
internet access for elderly patients,5,W,CE,Barrier,,
Empowerment of the population does not fund professionals or is not funded,5,W,CE,Barrier,,
Few incentives to empower the population (time available),5,W,CE,Barrier,,
Changes of providers,5,W,CE,Barrier,,
care pathway undergone,5,W,CE,Barrier,,
"the patient as a ""partner"" of the team, and not ""at the centre of their care project""…",5,W,CE,Barrier,,
Need to start integration before pathology,5,W,CE,Barrier,,
Training of health professionals not sufficiently focused on empowerment of the population,5,W,CE,Barrier,,
Testing this approach in the pilot projects,5,W,CE,Facilitator,,
Different databases available,5,W,CE,Facilitator,,
Patients' rights: better information,5,W,CE,Facilitator,,
Existing health promotion programmes,5,W,CE,Facilitator,,
Continuing education for health professionals to develop skills in this area,5,W,CE,Facilitator,,
The carer/care receiver relationship over time,5,W,CE,Facilitator,,
Confusion between the case manager function and the care coordination function,5,W,PC,Barrier,,
Unstructured first line of help and care,5,W,PC,Barrier,,
Professionals have not learned in their initial training to collaborate with other disciplines.,5,W,PC,Barrier,,
Lack of knowledge of the tools by health actors,5,W,PC,Barrier,,
"Division of competences between levels of authority (curative, preventive)",5,W,PC,Barrier,,
"Lack of means to enable consultation between professionals (no or little remuneration, etc.)",5,W,PC,Barrier,,
Vision of health still very hospital-centric and medical-centric (versus care and life course),5,W,PC,Barrier,,
Physicians' superiority complex,5,W,PC,Barrier,,
"Lack of knowledge of other disciplines, the network ",5,W,PC,Barrier,,
"Disease-specific approach, lack of transversality",5,W,PC,Barrier,,
lack of collaboration between certain sectors,5,W,PC,Barrier,,
Collaboration between care sectors sometimes difficult,5,W,PC,Barrier,,
Lack of space for concertation,5,W,PC,Barrier,,
Lack of clarity about the case manager function,5,W,PC,Barrier,,
